sl,sortie,max_h,filtre_jour,vol,tr_an,PF_21_23,PF_24_26,2021,2022,2023,2024,2025,2026
2.0,SMA5,6,-,-,138.0,1.2381406978153726,1.2083592936133425,11.4,-9.1,15.8,15.1,2.1,0.5
2.0,SMA5,6,-,1.5,121.33333333333333,1.2746341329252269,1.1676313998655177,12.0,-7.3,13.3,11.9,1.3,-0.4
2.0,SMA5,6,20,-,119.5,1.2345042775457533,1.2414235414281891,8.1,-6.9,13.2,14.5,3.3,0.3
2.0,SMA5,6,20,1.5,103.83333333333333,1.2844001544172414,1.19300047574302,9.7,-5.7,10.7,11.3,2.6,-0.9
2.0,SMA5,6,50,-,107.0,1.1936260134915135,1.3013038390302374,3.8,-4.2,10.4,14.3,1.8,5.0
2.0,SMA5,6,50,1.5,91.83333333333333,1.2597719221429415,1.2562122703731944,5.4,-2.3,7.8,11.1,1.0,3.8
2.0,SMA5,12,-,-,135.5,1.2378642985932407,1.2216258874486465,10.8,-8.5,15.4,14.4,4.8,-0.9
2.0,SMA5,12,-,1.5,119.0,1.275146904805696,1.1587052099260575,11.3,-6.9,13.1,11.2,2.1,-1.3
2.0,SMA5,12,20,-,117.33333333333333,1.2375478001876228,1.2542471397544535,7.2,-5.8,12.9,13.8,6.1,-1.3
2.0,SMA5,12,20,1.5,101.83333333333333,1.2847400006902137,1.180133780092754,8.9,-5.0,10.6,10.6,3.4,-2.0
2.0,SMA5,12,50,-,105.33333333333333,1.2164310418251385,1.336745407981425,3.9,-3.8,10.7,13.6,4.5,4.6
2.0,SMA5,12,50,1.5,90.33333333333333,1.2704229900066593,1.2653150940765672,5.5,-2.3,7.9,10.4,1.8,3.8
2.0,SMA3,6,-,-,143.5,1.1399222682696364,1.1722536449519736,11.2,-6.1,4.1,7.5,3.9,1.7
2.0,SMA3,6,-,1.5,125.83333333333333,1.175938616353354,1.076048526496203,11.1,-5.0,3.9,4.6,0.8,-0.1
2.0,SMA3,6,20,-,124.83333333333333,1.1654266940976175,1.2362320314323583,8.0,-4.1,4.8,7.6,5.7,2.3
2.0,SMA3,6,20,1.5,108.16666666666667,1.2358982250614579,1.123944205020563,8.8,-3.0,4.7,4.7,2.7,0.2
2.0,SMA3,6,50,-,111.33333333333333,1.1134494633090906,1.25681259248987,3.8,-2.3,3.6,7.1,3.3,5.6
2.0,SMA3,6,50,1.5,95.16666666666667,1.2057119698541923,1.138298131280208,4.6,-0.4,3.4,4.2,0.3,3.5
2.0,SMA3,12,-,-,143.16666666666666,1.145473872051523,1.1749202362551434,10.9,-6.0,4.6,7.3,5.4,0.5
2.0,SMA3,12,-,1.5,125.5,1.1812102864696348,1.0508275428287406,10.9,-5.0,4.4,4.4,0.5,-1.3
2.0,SMA3,12,20,-,124.5,1.1780215181288858,1.240040267480046,8.0,-4.0,5.3,7.4,7.2,1.1
2.0,SMA3,12,20,1.5,107.83333333333333,1.2499974346290095,1.0947171193563932,8.8,-3.0,5.2,4.5,2.4,-1.1
2.0,SMA3,12,50,-,111.16666666666667,1.1275922099580773,1.2827304032803566,3.8,-2.2,4.1,6.8,4.8,5.6
2.0,SMA3,12,50,1.5,95.0,1.2223857122894328,1.1288642490588527,4.6,-0.4,3.9,3.9,-0.0,3.5
3.0,SMA5,6,-,-,134.0,1.4233953819230007,1.2101513454437842,7.6,-2.6,13.1,10.9,-0.5,1.4
3.0,SMA5,6,-,1.5,118.0,1.4838344218259063,1.1500083744037335,8.0,-2.1,11.8,7.9,-1.0,0.8
3.0,SMA5,6,20,-,116.0,1.4021085647700127,1.282130633989858,5.1,-1.9,10.8,10.4,1.4,2.0
3.0,SMA5,6,20,1.5,101.0,1.47492450845538,1.21267325571925,6.3,-1.8,9.5,7.4,0.9,1.2
3.0,SMA5,6,50,-,104.0,1.4378179042398218,1.2987706955663951,2.8,0.2,9.2,10.2,-0.7,4.4
3.0,SMA5,6,50,1.5,89.5,1.55973282212382,1.227823163135648,3.9,0.7,7.9,7.2,-1.2,3.6
3.0,SMA5,12,-,-,130.16666666666666,1.3952956345166307,1.1828555450121403,8.0,-3.7,12.3,9.0,-0.6,1.7
3.0,SMA5,12,-,1.5,114.66666666666667,1.4413695959085926,1.1213477277359138,8.4,-3.8,11.3,6.0,-1.0,1.1
3.0,SMA5,12,20,-,112.5,1.3222897471729156,1.2591000793385214,5.3,-3.8,10.0,9.0,1.3,2.1
3.0,SMA5,12,20,1.5,98.0,1.3766149572605342,1.1880951758293077,6.4,-4.0,9.0,6.0,0.9,1.3
3.0,SMA5,12,50,-,101.5,1.4251794673799667,1.283416292393884,2.5,0.1,9.0,8.9,-0.8,4.9
3.0,SMA5,12,50,1.5,87.33333333333333,1.5163126535761253,1.211816110680324,3.6,0.4,7.6,5.9,-1.2,4.1
3.0,SMA3,6,-,-,140.0,1.2716361240926388,1.1838147437457978,7.8,-1.7,4.3,5.2,2.4,1.6
3.0,SMA3,6,-,1.5,123.0,1.3199602236651595,1.0688907943532768,7.8,-1.8,4.6,2.4,0.4,0.4
3.0,SMA3,6,20,-,121.83333333333333,1.2876189450447157,1.2590604066009545,5.5,-1.1,4.6,5.0,3.5,2.6
3.0,SMA3,6,20,1.5,105.83333333333333,1.3732075546921148,1.123293826834383,6.0,-1.1,4.9,2.3,1.6,1.2
3.0,SMA3,6,50,-,108.66666666666667,1.2784276131797179,1.2612358256908636,2.7,0.3,4.1,4.7,2.0,4.1
3.0,SMA3,6,50,1.5,93.16666666666667,1.4083975304521386,1.1190652218231083,3.1,0.8,4.4,1.9,0.1,2.7
3.0,SMA3,12,-,-,139.0,1.25201554980654,1.1482823122214252,7.8,-2.8,4.6,4.9,1.3,1.2
3.0,SMA3,12,-,1.5,122.16666666666667,1.295773504783295,1.0367570394090107,7.8,-2.9,5.0,2.1,-0.4,0.0
3.0,SMA3,12,20,-,120.83333333333333,1.2676969782519485,1.2175718531654824,5.5,-2.1,4.9,4.7,2.4,2.2
3.0,SMA3,12,20,1.5,105.0,1.347718825404617,1.0859619702708887,6.0,-2.1,5.3,2.0,0.8,0.8
3.0,SMA3,12,50,-,108.0,1.3072878625712228,1.2271868269088864,2.7,0.4,4.4,4.4,1.0,4.1
3.0,SMA3,12,50,1.5,92.66666666666667,1.4462080534917812,1.090242909106331,3.2,0.8,4.8,1.6,-0.7,2.7
4.0,SMA5,6,-,-,133.0,1.4224336848519852,1.1930046612207221,5.4,-2.1,10.0,9.5,-0.7,-0.7
4.0,SMA5,6,-,1.5,117.33333333333333,1.4603795446954857,1.143569839726683,5.7,-1.7,8.6,7.3,-0.6,-1.1
4.0,SMA5,6,20,-,115.33333333333333,1.427455366518035,1.3155831247406475,3.6,-1.3,8.5,9.1,1.1,0.9
4.0,SMA5,6,20,1.5,100.66666666666667,1.4783109745936711,1.2626902597407146,4.4,-1.3,7.2,6.9,1.2,0.3
4.0,SMA5,6,50,-,103.33333333333333,1.5085239717773657,1.3203392977208455,1.8,0.5,7.6,9.0,-0.8,2.8
4.0,SMA5,6,50,1.5,89.16666666666667,1.6144157382352695,1.266108884251776,2.6,0.9,6.2,6.8,-0.7,2.2
4.0,SMA5,12,-,-,128.66666666666666,1.4371175306528494,1.1999182565561115,5.5,-2.9,10.6,8.5,-0.4,-0.3
4.0,SMA5,12,-,1.5,113.66666666666667,1.4623207500412907,1.1820676646164625,5.8,-3.0,9.4,6.3,0.9,-0.8
4.0,SMA5,12,20,-,111.33333333333333,1.3944464481726293,1.3338220630594477,3.5,-2.7,9.2,8.5,1.3,1.2
4.0,SMA5,12,20,1.5,97.33333333333333,1.431316220899121,1.3235498843747997,4.3,-2.9,8.0,6.2,2.5,0.6
4.0,SMA5,12,50,-,100.33333333333333,1.6166145907788065,1.349353092169565,1.3,0.9,8.7,8.4,-0.5,3.2
4.0,SMA5,12,50,1.5,86.66666666666667,1.710710159916726,1.340930697322527,2.2,1.1,7.1,6.1,0.7,2.6
4.0,SMA3,6,-,-,139.33333333333334,1.295978905398814,1.1720819926057202,5.6,-1.4,4.1,4.6,1.9,-0.0
4.0,SMA3,6,-,1.5,122.5,1.3262237002580413,1.0643953549059706,5.6,-1.5,4.0,2.5,0.8,-1.0
4.0,SMA3,6,20,-,121.5,1.3465622880745103,1.2745335814442649,3.9,-0.7,4.6,4.5,2.8,1.5
4.0,SMA3,6,20,1.5,105.66666666666667,1.4164007081958072,1.1474456187231352,4.2,-0.7,4.5,2.4,1.6,0.4
4.0,SMA3,6,50,-,108.33333333333333,1.390402654611807,1.2755975978328034,1.7,0.6,4.5,4.2,1.7,2.6
4.0,SMA3,6,50,1.5,93.0,1.5172711141669146,1.1425351555875112,2.1,0.9,4.3,2.1,0.5,1.5
4.0,SMA3,12,-,-,138.16666666666666,1.2937174352146699,1.1729526892963227,5.6,-1.9,4.5,4.4,2.0,-0.2
4.0,SMA3,12,-,1.5,121.5,1.3166988139870799,1.0740432613538191,5.6,-2.0,4.3,2.3,1.2,-1.1
4.0,SMA3,12,20,-,120.33333333333333,1.3488469059127914,1.2803958918977756,3.9,-1.2,5.0,4.3,2.9,1.3
4.0,SMA3,12,20,1.5,104.66666666666667,1.4101624125773788,1.1644951707441622,4.3,-1.2,4.7,2.2,2.1,0.3
