variante,2022,2023,2024,2025,2026,2024→26,pire baisse,trades/an
"Vos réglages (stop 2, 6 h, 2 %)",-3.1,15.8,25.3,3.0,7.7,38.9,-18.2,123.0
"v1.40 par défaut (stop 4, 12 h, 1,5 %)",2.4,11.7,11.2,0.4,4.8,17.0,-9.2,118.0
v1.40 à 2 %,3.2,15.8,15.2,0.4,6.5,23.1,-12.2,118.0
v1.40 à 3 %,4.7,24.6,23.4,0.4,9.8,36.0,-17.8,118.0
"v1.40 + ventes en baisse, 2 %",2.9,18.0,17.0,-2.6,3.0,17.3,-14.8,160.0
"v1.40 RSI<20, 2 %",-4.1,20.5,20.2,16.7,6.8,49.7,-10.3,211.0
"v1.40 RSI<5, 2 %",2.2,9.4,6.3,7.7,4.1,19.3,-4.1,57.0
"v1.40 sortie 24 h, 2 %",3.4,15.8,15.2,0.4,6.5,23.1,-12.2,118.0
"v1.40 sans filtre volatilité, 2 %",3.0,18.2,20.3,-2.5,7.2,25.8,-12.8,129.0
Or acheté et gardé (x1),-0.8,11.8,29.7,64.7,-1.1,111.2,,
