key,strategy,symbol,params,trades_per_day,is_n,is_pf,is_exp,oos_n,oos_pf,oos_exp
"breakout|BTCUSD|{""n"": 20, ""sl"": 2.0}",breakout,BTCUSD,"{""n"": 20, ""sl"": 2.0}",0.556093979441997,258,1.1351389437276207,0.07232067662564368,283,1.0154868052948376,0.00827734820214861
"breakout|BTCUSD|{""n"": 20, ""sl"": 3.0}",breakout,BTCUSD,"{""n"": 20, ""sl"": 3.0}",0.45227606461086634,217,1.1629035195105986,0.0853860990183993,223,1.1008516538956774,0.05050929143149446
"breakout|BTCUSD|{""n"": 55, ""sl"": 2.0}",breakout,BTCUSD,"{""n"": 55, ""sl"": 2.0}",0.35462555066079293,158,1.2316915890872826,0.11357459606170861,187,1.0370386116268355,0.019978360481783634
"breakout|BTCUSD|{""n"": 55, ""sl"": 3.0}",breakout,BTCUSD,"{""n"": 55, ""sl"": 3.0}",0.31556534508076356,145,1.1513662847974715,0.08317702696806757,162,1.017800908779164,0.009282001813060438
"orb|BTCUSD|{""rr"": 1.0, ""width_min"": 0.0}",orb,BTCUSD,"{""rr"": 1.0, ""width_min"": 0.0}",1.1728340675477238,615,0.7898121337075651,-0.07067310766042914,526,0.7691803337483883,-0.07248434728953349
"orb|BTCUSD|{""rr"": 1.0, ""width_min"": 0.5}",orb,BTCUSD,"{""rr"": 1.0, ""width_min"": 0.5}",1.113215859030837,581,0.8221732504400782,-0.057238120864128425,502,0.8329776333971425,-0.04940327659269611
"orb|BTCUSD|{""rr"": 2.0, ""width_min"": 0.0}",orb,BTCUSD,"{""rr"": 2.0, ""width_min"": 0.0}",1.1728340675477238,615,0.7873655504093465,-0.0757044872661869,526,0.7710131007960265,-0.07519270212459155
"orb|BTCUSD|{""rr"": 2.0, ""width_min"": 0.5}",orb,BTCUSD,"{""rr"": 2.0, ""width_min"": 0.5}",1.113215859030837,581,0.843226336654506,-0.052435466272677575,502,0.8523627508247091,-0.04484630034813408
"orb|BTCUSD|{""rr"": 3.0, ""width_min"": 0.0}",orb,BTCUSD,"{""rr"": 3.0, ""width_min"": 0.0}",1.1728340675477238,615,0.8369139464068457,-0.05883023803531289,526,0.8106193543613995,-0.06218714924377222
"orb|BTCUSD|{""rr"": 3.0, ""width_min"": 0.5}",orb,BTCUSD,"{""rr"": 3.0, ""width_min"": 0.5}",1.113215859030837,581,0.9103197619635031,-0.030365731707142195,502,0.8918285464944963,-0.03285816770564661
"pdhl|BTCUSD|{""rr"": 1.0}",pdhl,BTCUSD,"{""rr"": 1.0}",0.7812041116005873,372,0.9656846510642655,-0.007985625160214959,388,0.8091993348544411,-0.03917626604725598
